merchant_id,merchant_id_raw,merchant_name,mcc,mcc_source,mcc_category_conflict,merchant_category,merchant_category_raw,business_type,city,state,city_state_mismatch,onboarding_date,onboarding_in_future,settlement_account_type,settlement_account_last4,merchant_status,declared_avg_ticket_size,ticket_size_was_negative,id_record_count
MCH1001,MCH 1001,Anand-Kothari,5411,inferred_from_category,False,Grocery,kirana,Partnership,Pune,Maharashtra,False,2026-02-17 06:54:00,False,ACCOUNT_NUMBER,6762,ACTIVE,332.55,False,1
MCH1002,mch1002,"Apte, Saha and Edwin",5812,mcc_field,False,Restaurants,Food,Private Limited,Bengaluru,Karnataka,False,2026-01-07 09:01:00,False,MASKED,8596,ACTIVE,1671.2,False,1
MCH1003,MCH1003,"Nayar, Batta and Barad",5699,mcc_field,False,Apparel,Fashion,Private Limited,Chennai,Tamil Nadu,False,,False,MISSING,,ACTIVE,792.91,False,1
MCH1004,MCH 1004,Pillai-Mohan,4131,mcc_field,False,Transportation,TRAVEL,Sole Proprietor,Lucknow,Uttar Pradesh,False,2023-04-08 00:00:00,False,ACCOUNT_NUMBER,4449,ACTIVE,342.7,False,1
MCH1005,MCH 1005,Sagar and Sons,5912,mcc_field,False,Pharmacy,MEDICAL_STORE,Partnership,Ludhiana,Punjab,False,2024-02-06 00:00:00,False,VIRTUAL_ACCOUNT,9775,ACTIVE,967.53,False,1
MCH1007,MCH1007,Jain-Wadhwa,7011,mcc_field,False,Hotels & Lodging,HOTEL_LODGING,Private Limited,Chennai,Tamil Nadu,False,2025-06-30 00:00:00,False,MISSING,,INACTIVE,927.51,True,2
MCH1009,MCH1009,Bha11a-Dave,4131,inferred_from_category,False,Transportation,Bus/Taxi,Individual,Mumbai,Maharashtra,False,2024-01-08 00:00:00,False,VIRTUAL_ACCOUNT,3178,ACTIVE,1496.0,False,1
MCH1010,MCH1010,Menon-Andra,5411,inferred_from_category,False,Grocery,Grocery,Private Limited,Delhi,Delhi,False,2024-11-17 00:00:00,False,MASKED,4837,ACTIVE,678.36,False,1
MCH1011,MCH1011,Wable and Sons,5411,mcc_field,False,Grocery,groceries,Private Limited,Ludhiana,Punjab,False,2023-11-02 00:00:00,False,MISSING,,ACTIVE,6536.07,False,2
MCH1014,MCH1014,"Raghavan, Barad and Bahl",5812,mcc_field,False,Restaurants,Food,Partnership,Pune,Maharashtra,False,2024-03-23 00:00:00,False,VIRTUAL_ACCOUNT,3357,ACTIVE,,False,2
MCH1015,MCH-1015,Mannan-Subramaniam,7011,mcc_field,False,Hotels & Lodging,Hotels,Individual,Hyderabad,Telangana,False,2024-05-19 00:00:00,False,MISSING,,ACTIVE,1116.83,True,1
MCH1016,MCH1016,"Mangat, Som and Deshmukh",5942,mcc_field,False,Books & Stationery,BOOKS_STATIONERY,Individual,Pune,Maharashtra,False,2025-02-08 00:00:00,False,VIRTUAL_ACCOUNT,0615,SUSPENDED,756.28,False,3
MCH1018,MCH1018,Kannan-Khatri,5311,mcc_field,False,Department Stores,DEPT_STORE,Individual,Jalandhar,Punjab,False,2023-03-19 00:00:00,False,MISSING,,ACTIVE,1791.0,False,1
MCH1019,MCH1019,Iyer-Thaker,5699,mcc_field,False,Apparel,Clothing,Partnership,Kolkata,West Bengal,False,2025-05-23 00:00:00,False,MASKED,9462,ACTIVE,,False,1
MCH1020,MCH1020,Garg-Kale,4131,mcc_field,False,Transportation,transprt,Sole Proprietor,Amritsar,Punjab,False,2023-05-09 00:00:00,False,MISSING,,ACTIVE,1015.68,False,1
MCH1021,MCH1021,Naik-Karpe,5411,mcc_field,False,Grocery,Grocery,Sole Proprietor,Mumbai,Maharashtra,False,2025-11-16 17:48:36,False,VIRTUAL_ACCOUNT,7444,ACTIVE,2341.57,False,2
MCH1022,MCH1022,Ramesh-Bhat,5999,inferred_from_category,False,Misc Retail,Other,Private Limited,Hyderabad,Telangana,False,,False,MISSING,,ACTIVE,3026.17,False,1
MCH1032,MCH 1032,Nori-Nigam,7011,mcc_field,False,Hotels & Lodging,Hotels,Sole Proprietor,Pune,Maharashtra,False,2025-09-21 00:00:00,False,VIRTUAL_ACCOUNT,9058,ACTIVE,652.29,False,3
MCH1033,MCH-1033,Sidhu and Sons,4814,mcc_field,False,Telecom,phone service,Individual,Jalandhar,Punjab,False,2023-09-11 00:00:00,False,VIRTUAL_ACCOUNT,9623,ACTIVE,1871.48,False,2
MCH1034,MCH1034,Devi-Chaudhari,7011,mcc_field,False,Hotels & Lodging,Hospitality,Private Limited,Delhi,Delhi,False,2024-06-17 22:15:00,False,MASKED,9097,ACTIVE,243.38,False,1
