complaint_id,txn_id,link_status,reported_user_id,reported_merchant_id,user_id,merchant_id,user_mismatch,merchant_mismatch,disputed_amount_imputed,disputed_amount,disputed_amount_was_negative,txn_amount,dispute_exceeds_txn,linked_txn_timestamp,transaction_timestamp,complaint_txn_ts_differs,reported_timestamp,bank_response_timestamp,reported_before_txn,reporting_delay_days,response_before_report,bank_response_days,reason_code_raw,reason_category,is_fraud_reason,complaint_text_note,complaint_text,severity,resolution_status,is_open,channel,txn_status,merchant_category,kyc_status,risk_segment
CBK0002082,TXN00004325,LINKED,USR97580,MCH1127,USR48198,MCH9866,True,True,True,20243.78,False,20243.78,False,2026-03-09 00:50:07,2026-01-28 00:00:00,True,2026-02-01 00:00:00,2026-02-10 03:19:10,False,4.0,False,9.14,Merchant Not Delivered,NOT_DELIVERED,False,,Customer says amount was debited twice.,CRITICAL,CLOSED,False,IVR,SUCCESS,Telecom,NO_KYC_RECORD,NO_KYC_RECORD
CBK0001941,TXN00003720,LINKED,USR54113,MCH3835,USR19443,MCH8424,True,True,False,414.69,False,6533.6,False,2026-03-07 04:20:29,2026-02-25 10:24:00,True,2026-03-05 06:24:15,2026-03-12 06:24:00,False,7.83,False,7.0,login compromised,ACCOUNT_TAKEOVER,True,,User reports money deducted but merchant denies receiving payment.,HIGH,IN_PROGRESS,True,Call Center,SUCCESS,Grocery,NO_KYC_RECORD,NO_KYC_RECORD
CBK0001799,TXN00012539,LINKED,USR17980,MCH3700,USR99547,MCH6553,True,True,False,7039.0,False,6388.23,True,2026-01-30 09:14:28,2026-02-04 00:00:00,True,2026-02-05 00:00:00,2026-03-06 00:00:00,False,1.0,False,29.0,customer issue,GENERAL_DISPUTE,False,,Merchant service was not delivered after payment.,LOW,OPEN,True,IVR,PENDING,Transportation,REJECTED,LOW
CBK0002465,TXN00017802,LINKED,USR76148,MCH4534,USR63502,MCH5142,True,True,False,1303.05,False,23586.25,False,2026-03-09 03:44:24,2026-03-30 00:00:00,True,2026-04-01 00:00:00,2026-04-07 00:00:00,False,2.0,False,6.0,no service,SERVICE_NOT_PROVIDED,False,pls check asap,Suspicious high-value payment disputed by customer.,HIGH,REJECTED,False,IVR,SUCCESS,Unknown,VERIFIED,LOW
CBK0001870,TXN00015944,LINKED,USR24660,MCH1686,USR35339,MCH9649,True,True,False,1459.42,False,3561.25,False,2026-01-23 11:15:55,2026-01-09 00:00:00,True,2026-01-14 21:01:41,2026-01-26 00:00:00,False,5.88,False,11.12,merchant service issue,SERVICE_NOT_PROVIDED,False,,Merchant service was not delivered after payment.,LOW,IN_PROGRESS,True,App,SUCCESS,Transportation,NO_KYC_RECORD,NO_KYC_RECORD
CBK0002663,TXN00009741,LINKED,USR40631,MCH9584,USR26919,MCH1247,True,True,False,548.0,False,243.53,True,2026-03-19 02:57:42,2026-02-05 00:00:00,True,2026-02-06 00:00:00,2026-02-23 00:00:00,False,1.0,False,17.0,service failed,SERVICE_NOT_PROVIDED,False,urgent,Complaint received after multiple failed attempts.,LOW,CLOSED,False,Branch,SUCCESS,Restaurants,NO_KYC_RECORD,NO_KYC_RECORD
CBK0000782,TXN00015086,LINKED,USR58789,MCH6008,USR79526,MCH4011,True,True,False,1949.6,False,2512.58,False,2026-02-03 07:46:26,2026-02-05 00:00:00,True,2026-02-10 00:00:00,2026-03-03 00:00:00,False,5.0,False,21.0,extra amount deducted,WRONG_AMOUNT,False,,User says UPI PIN was not entered by them.,MEDIUM,IN_PROGRESS,True,Chatbot,SUCCESS,Transportation,NO_KYC_RECORD,NO_KYC_RECORD
CBK0001838,TXN00014426,LINKED,USR30157,MCH4526,USR55594,MCH4220,True,True,False,4193.52,False,19236.78,False,2026-01-02 09:55:37,2026-03-26 10:17:08,True,2026-04-06 04:17:08,2026-04-18 00:00:00,False,10.75,False,11.82,Service Not Provided,SERVICE_NOT_PROVIDED,False,,Merchant service was not delivered after payment. details missing,MEDIUM,OPEN,True,Chatbot,SUCCESS,Grocery,VERIFIED,HIGH
CBK0001095,TXN00015316,LINKED,USR86750,MCH5980,USR10923,MCH9944,True,True,False,930.83,False,20956.02,False,2026-03-19 05:14:31,2026-01-12 00:00:00,True,2026-01-13 00:00:00,2026-01-14 00:00:00,False,1.0,False,1.0,dispute raised,GENERAL_DISPUTE,False,,Customer complaint text unclear due to poor call center notes.,HIGH,OPEN,True,Branch,SUCCESS,Transportation,NO_KYC_RECORD,NO_KYC_RECORD
CBK0002541,TXN00002822,LINKED,USR11987,MCH3992,USR72065,MCH5025,True,True,True,5724.63,False,5724.63,False,2026-01-12 00:21:15,2026-03-18 10:04:06,True,2026-03-23 00:00:00,2026-03-30 00:00:00,False,4.58,False,7.0,UNAUTHORISED,UNAUTHORIZED_TXN,True,,User claims account was compromised before transaction.,HIGH,OPEN,True,IVR,SUCCESS,Unknown,NO_KYC_RECORD,NO_KYC_RECORD
