txn_id,timestamp,has_time,timestamp_out_of_window,user_id,merchant_id,amount,amount_was_negative,amount_invalid,utr,utr_status,status,status_raw,mcc,mcc_source,merchant_category,mcc_conflicts_master,user_in_kyc,merchant_in_master,utr_duplicated,txn_date,txn_hour,kyc_status,risk_segment,chargeback_count,disputed_amount,is_disputed
TXN00011869,2026-01-15 00:11:30,True,False,USR45826,MCH7045,15722.34,False,False,UTR6498104698,VALID,SUCCESS,COMPLETED,5411,txn_field,Grocery,False,False,False,False,2026-01-15,0,NO_KYC_RECORD,NO_KYC_RECORD,1,8004.21,True
TXN00010383,2026-01-17 20:09:44,True,False,USR79397,MCH5031,6362.9,False,False,UTR7656190355,VALID,FAILED,TXN_FAILED,4131,txn_field,Transportation,False,True,False,False,2026-01-17,20,REJECTED,LOW,1,4163.19,True
TXN00008297,2026-01-23 14:10:16,True,False,USR87810,MCH9809,15446.19,False,False,UTR9037001889,VALID,SUCCESS,S,5411,txn_field,Grocery,False,False,False,False,2026-01-23,14,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00006448,2026-02-02 20:17:51,True,False,USR54287,MCH6928,12110.49,False,False,UTR5257823698,VALID,SUCCESS,S,5411,txn_field,Grocery,True,False,True,False,2026-02-02,20,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00018792,2026-03-31 14:02:37,True,False,USR53865,MCH8121,19432.94,False,False,UTR4204272894,VALID,SUCCESS,TXN_SUCCESS,4131,txn_field,Transportation,False,False,False,False,2026-03-31,14,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00000400,2026-02-11 01:40:43,True,False,USR90546,MCH6773,18866.03,False,False,UTR2080442730,VALID,SUCCESS,SUCCESS,5812,txn_field,Restaurants,True,True,True,False,2026-02-11,1,REJECTED,LOW,0,,False
TXN00015249,2026-03-10 21:27:31,True,False,USR18691,MCH7856,19982.69,False,False,UTR5471158093,VALID,SUCCESS,COMPLETED,7011,merchant_master,Hotels & Lodging,False,True,True,False,2026-03-10,21,VERIFIED,LOW,0,,False
TXN00007121,2026-02-25 00:53:02,True,False,USR16629,MCH7753,22687.5,False,False,UTR3330570580,VALID,SUCCESS,COMPLETED,5411,txn_field,Grocery,False,False,False,False,2026-02-25,0,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00008460,2026-02-07 09:53:11,True,False,USR20899,MCH9111,8256.07,False,False,UTR6505850115,VALID,SUCCESS,S,5999,merchant_master,Misc Retail,False,True,True,False,2026-02-07,9,VERIFIED,LOW,0,,False
TXN00002541,2026-03-30 09:37:49,True,False,USR51755,MCH2949,16466.93,False,False,UTR2787678319,VALID,FAILED,FAILED,5411,txn_field,Grocery,True,False,True,False,2026-03-30,9,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00003797,2026-03-14 12:21:17,True,False,USR81003,MCH5292,13312.0,False,False,UTR2464640119,VALID,SUCCESS,Success,5999,merchant_master,Misc Retail,False,False,True,False,2026-03-14,12,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00000092,2026-01-27 23:43:31,True,False,USR70687,MCH4523,17833.99,False,False,UTR5315091377,VALID,SUCCESS,SUCCESS,5411,txn_field,Grocery,False,True,False,False,2026-01-27,23,VERIFIED,MEDIUM,0,,False
TXN00004622,2026-03-11 01:40:12,True,False,USR37834,MCH5213,19118.63,False,False,UTR1692756805,VALID,SUCCESS,SUCCESS,5812,txn_field,Restaurants,True,False,True,False,2026-03-11,1,NO_KYC_RECORD,NO_KYC_RECORD,1,1330.95,True
TXN00001542,2026-02-21 01:33:17,True,False,USR78386,MCH4890,2680.85,False,False,UTR3430344329,VALID,SUCCESS,Success,5912,txn_field,Pharmacy,False,False,False,False,2026-02-21,1,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00002592,2026-02-21 05:47:48,True,False,USR21114,MCH9819,20100.92,False,False,UTR3572682179,VALID,PENDING,Initiated,,unknown,Unknown,False,False,False,False,2026-02-21,5,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00017665,2026-01-21 15:06:13,True,False,USR96222,MCH6009,16257.95,False,False,UTR4021669116,VALID,PENDING,Pending,5411,txn_field,Grocery,True,False,True,False,2026-01-21,15,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00002012,2026-03-06 13:48:49,True,False,USR13976,MCH8222,1575.7,False,False,UTR0496925866,VALID,SUCCESS,TXN_SUCCESS,5411,txn_field,Grocery,False,False,False,False,2026-03-06,13,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
TXN00015655,2026-01-09 05:05:51,True,False,USR55935,MCH8480,18230.29,False,False,UTR6094940155,VALID,SUCCESS,TXN_SUCCESS,4131,merchant_master,Transportation,False,False,True,False,2026-01-09,5,NO_KYC_RECORD,NO_KYC_RECORD,0,,False
