merchant_id,merchant_id_raw,merchant_name,mcc,mcc_source,mcc_category_conflict,merchant_category,merchant_category_raw,business_type,city,state,city_state_mismatch,onboarding_date,onboarding_in_future,settlement_account_type,settlement_account_last4,merchant_status,declared_avg_ticket_size,ticket_size_was_negative,id_record_count,is_canonical
MCH1001,MCH 1001,Anand-Kothari,5411,inferred_from_category,False,Grocery,kirana,Partnership,Pune,Maharashtra,False,2026-02-17 06:54:00,False,ACCOUNT_NUMBER,6762,ACTIVE,332.55,False,1,True
MCH1002,mch1002,"Apte, Saha and Edwin",5812,mcc_field,False,Restaurants,Food,Private Limited,Bengaluru,Karnataka,False,2026-01-07 09:01:00,False,MASKED,8596,ACTIVE,1671.2,False,1,True
MCH1003,MCH1003,"Nayar, Batta and Barad",5699,mcc_field,False,Apparel,Fashion,Private Limited,Chennai,Tamil Nadu,False,,False,MISSING,,ACTIVE,792.91,False,1,True
MCH1004,MCH 1004,Pillai-Mohan,4131,mcc_field,False,Transportation,TRAVEL,Sole Proprietor,Lucknow,Uttar Pradesh,False,2023-04-08 00:00:00,False,ACCOUNT_NUMBER,4449,ACTIVE,342.7,False,1,True
MCH1005,MCH 1005,Sagar and Sons,5912,mcc_field,False,Pharmacy,MEDICAL_STORE,Partnership,Ludhiana,Punjab,False,2024-02-06 00:00:00,False,VIRTUAL_ACCOUNT,9775,ACTIVE,967.53,False,1,True
MCH1007,MCH1007,Jain-Wadhwa,7011,mcc_field,False,Hotels & Lodging,HOTEL_LODGING,Private Limited,Chennai,Tamil Nadu,False,2025-06-30 00:00:00,False,MISSING,,INACTIVE,927.51,True,2,True
MCH1007,MCH1007,"Sunder, Wason and Pau",5812,mcc_field,False,Restaurants,eating place,Partnership,Jaipur,Rajasthan,False,2023-11-19 00:00:00,False,MISSING,,ACTIVE,164.45,False,2,False
MCH1009,MCH1009,Bha11a-Dave,4131,inferred_from_category,False,Transportation,Bus/Taxi,Individual,Mumbai,Maharashtra,False,2024-01-08 00:00:00,False,VIRTUAL_ACCOUNT,3178,ACTIVE,1496.0,False,1,True
MCH1010,MCH1010,Menon-Andra,5411,inferred_from_category,False,Grocery,Grocery,Private Limited,Delhi,Delhi,False,2024-11-17 00:00:00,False,MASKED,4837,ACTIVE,678.36,False,1,True
MCH1011,MCH1011,Wable and Sons,5411,mcc_field,False,Grocery,groceries,Private Limited,Ludhiana,Punjab,False,2023-11-02 00:00:00,False,MISSING,,ACTIVE,6536.07,False,2,True
MCH1011,MCH1011,Wable and Sons,5411,mcc_field,False,Grocery,groceries,Private Limited,Ludhiana,Punjab,False,2023-11-02 00:00:00,False,MISSING,,SUSPENDED,6536.07,False,2,False
MCH1014,MCH1014,"Raghavan, Barad and Bahl",5812,mcc_field,False,Restaurants,Food,Partnership,Pune,Maharashtra,False,2024-03-23 00:00:00,False,VIRTUAL_ACCOUNT,3357,ACTIVE,,False,2,True
MCH1014,MCH 1014,"Agate, Saxena and Pandit",5311,mcc_field,False,Department Stores,Department Store,Partnership,Jalandhar,Punjab,False,2023-12-21 00:00:00,False,ACCOUNT_NUMBER,9270,ACTIVE,1096.96,False,2,False
MCH1015,MCH-1015,Mannan-Subramaniam,7011,mcc_field,False,Hotels & Lodging,Hotels,Individual,Hyderabad,Telangana,False,2024-05-19 00:00:00,False,MISSING,,ACTIVE,1116.83,True,1,True
MCH1016,MCH1016,"Mangat, Som and Deshmukh",5942,mcc_field,False,Books & Stationery,BOOKS_STATIONERY,Individual,Pune,Maharashtra,False,2025-02-08 00:00:00,False,VIRTUAL_ACCOUNT,0615,SUSPENDED,756.28,False,3,True
MCH1016,MCH1016,"Reddy, Amble and Parmar",4814,mcc_field,False,Telecom,Telecom,Partnership,Chennai,Tamil Nadu,False,2023-03-10 00:00:00,False,MISSING,,ACTIVE,517.37,False,3,False
MCH1016,MCH 1016,"Char, Bhargava and Chaudhary",5812,mcc_field,False,Restaurants,Restaurant,Private Limited,Hyderabad,Telangana,False,,False,VIRTUAL_ACCOUNT,8108,ACTIVE,1933.0,False,3,False
MCH1018,MCH1018,Kannan-Khatri,5311,mcc_field,False,Department Stores,DEPT_STORE,Individual,Jalandhar,Punjab,False,2023-03-19 00:00:00,False,MISSING,,ACTIVE,1791.0,False,1,True
MCH1019,MCH1019,Iyer-Thaker,5699,mcc_field,False,Apparel,Clothing,Partnership,Kolkata,West Bengal,False,2025-05-23 00:00:00,False,MASKED,9462,ACTIVE,,False,1,True
MCH1020,MCH1020,Garg-Kale,4131,mcc_field,False,Transportation,transprt,Sole Proprietor,Amritsar,Punjab,False,2023-05-09 00:00:00,False,MISSING,,ACTIVE,1015.68,False,1,True
MCH1021,MCH1021,Naik-Karpe,5411,mcc_field,False,Grocery,Grocery,Sole Proprietor,Mumbai,Maharashtra,False,2025-11-16 17:48:36,False,VIRTUAL_ACCOUNT,7444,ACTIVE,2341.57,False,2,True
MCH1021,MCH1021,Varghese-Ramachandran,5812,mcc_field,False,Restaurants,FOOD_SERVICES,Private Limited,Amritsar,Punjab,False,,False,MISSING,,ACTIVE,734.0,False,2,False
MCH1022,MCH1022,Ramesh-Bhat,5999,inferred_from_category,False,Misc Retail,Other,Private Limited,Hyderabad,Telangana,False,,False,MISSING,,ACTIVE,3026.17,False,1,True
MCH1032,MCH 1032,Nori-Nigam,7011,mcc_field,False,Hotels & Lodging,Hotels,Sole Proprietor,Pune,Maharashtra,False,2025-09-21 00:00:00,False,VIRTUAL_ACCOUNT,9058,ACTIVE,652.29,False,3,True
MCH1032,mch1032,Manda-Hayer,7011,mcc_field,False,Hotels & Lodging,Hotels,Partnership,Amritsar,Punjab,False,2025-04-20 00:00:00,False,MASKED,4099,ACTIVE,674.56,False,3,False
MCH1032,mch1032,Manda-Hayer,7011,mcc_field,False,Hotels & Lodging,hotels,Partnership,Amritsar,Punjab,False,2025-04-20 00:00:00,False,MASKED,4099,INACTIVE,674.56,False,3,False
MCH1033,MCH-1033,Sidhu and Sons,4814,mcc_field,False,Telecom,phone service,Individual,Jalandhar,Punjab,False,2023-09-11 00:00:00,False,VIRTUAL_ACCOUNT,9623,ACTIVE,1871.48,False,2,True
MCH1033,MCH1033,Virk Plc,7011,mcc_field,False,Hotels & Lodging,Hospitality,Individual,Amritsar,Punjab,False,2023-07-08 00:00:00,False,MASKED,6158,CLOSED,1825.13,True,2,False
MCH1034,MCH1034,Devi-Chaudhari,7011,mcc_field,False,Hotels & Lodging,Hospitality,Private Limited,Delhi,Delhi,False,2024-06-17 22:15:00,False,MASKED,9097,ACTIVE,243.38,False,1,True
MCH1035,MCH1035,Minhas-Khatri,5812,mcc_field,False,Restaurants,Restaurants,Sole Proprietor,Mumbai,Maharashtra,False,2024-01-24 00:00:00,False,VIRTUAL_ACCOUNT,9781,ACTIVE,5777.68,False,1,True
MCH1039,mch1039,Lal-Barad,4814,mcc_field,False,Telecom,TELECOM,Sole Proprietor,Lucknow,Uttar Pradesh,False,2025-07-28 00:43:00,False,MISSING,,ACTIVE,3062.03,False,2,True
MCH1039,1039,Palan-Mody,4814,mcc_field,False,Telecom,phone service,Individual,Hyderabad,Telangana,False,2023-07-14 00:00:00,False,MISSING,,ACTIVE,545.34,True,2,False
MCH1040,MCH1040,Chand Plc,5912,mcc_field,False,Pharmacy,Medical,Individual,Pune,Maharashtra,False,2024-09-08 00:00:00,False,MISSING,,ACTIVE,653.92,False,2,True
