entity,signal,entities,fraud_hits,hit_rate,lift,recall,any_dispute_rate
merchant,top10%_disputed_amount,50,4,0.08,1.2091056910569107,0.016260162601626018,0.08
merchant,not_in_merchant_master,1951,133,0.06817016914402871,1.0303117434044664,0.540650406504065,0.16350589441312147
merchant,"high_cb_ratio(≥30%,≥3 txns)",108,6,0.05555555555555555,0.8396567299006323,0.024390243902439025,0.14814814814814814
merchant,missing_settlement_account,680,37,0.054411764705882354,0.8223696795791487,0.15040650406504066,0.17941176470588235
merchant,transacting_while_not_active,306,14,0.0457516339869281,0.6914820128593443,0.056910569105691054,0.16013071895424835
merchant,fraud_type_dispute,158,6,0.0379746835443038,0.5739425748687867,0.024390243902439025,0.12025316455696203
merchant,3+_disputes,5,0,0.0,0.0,0.0,0.2
merchant,repeated_disputes(≥2),36,0,0.0,0.0,0.0,0.08333333333333333
user,kyc_not_verified,6,1,0.16666666666666666,3.982905982905983,0.02564102564102564,0.16666666666666666
user,"high_value_chargeback(≥₹9,736)",9,1,0.1111111111111111,2.6552706552706553,0.02564102564102564,0.2222222222222222
user,no_kyc_record,49,4,0.08163265306122448,1.9508110936682364,0.10256410256410256,0.16326530612244897
user,fraud_type_dispute,25,2,0.08,1.9117948717948718,0.05128205128205128,0.12
user,high_risk_segment,30,2,0.06666666666666667,1.5931623931623933,0.05128205128205128,0.06666666666666667
user,multiple_failed_txns,3,0,0.0,0.0,0.0,0.0
user,repeated_disputes(≥2),3,0,0.0,0.0,0.0,0.0
