entity,group,entities,fraud_hits,hit_rate,lift,recall,any_dispute_rate
merchant,HIGH,21,0,0.0,0.0,0.0,0.047619047619047616
merchant,MEDIUM,62,2,0.03225806451612903,0.4875426173616575,0.008130081300813009,0.11290322580645161
merchant,LOW,3635,244,0.0671251719394773,1.0145178425649455,0.991869918699187,0.17056396148555708
merchant,HIGH+MEDIUM,83,2,0.024096385542168676,0.3641884611617201,0.008130081300813009,0.0963855421686747
merchant,ALL,3718,246,0.06616460462614308,1.0,1.0,0.1689080150618612
user,HIGH,3,0,0.0,0.0,0.0,0.0
user,MEDIUM,6,1,0.16666666666666666,3.982905982905983,0.02564102564102564,0.16666666666666666
user,LOW,923,38,0.041170097508125676,0.9838597660916187,0.9743589743589743,0.10725893824485373
user,HIGH+MEDIUM,9,1,0.1111111111111111,2.6552706552706553,0.02564102564102564,0.1111111111111111
user,ALL,932,39,0.04184549356223176,1.0,1.0,0.1072961373390558
