complaint_id,txn_id,user_id,merchant_id,merchant_category,reason_category,severity,disputed_amount,transaction_timestamp,reported_timestamp,reporting_delay_days,resolution_status,kyc_status
CBK0001281,TXN00018888,USR60989,MCH6651,Grocery,WRONG_AMOUNT,MEDIUM,18360.4,2026-01-06 16:30:45,2026-04-17 00:00:00,100.31,REJECTED,NO_KYC_RECORD
CBK0001124,TXN00018122,USR32572,MCH5118,Unknown,DUPLICATE_DEBIT,MEDIUM,5694.69,2026-01-24 13:24:19,2026-05-03 00:00:00,98.44,PENDING_BANK,VERIFIED
CBK0000237,TXN00009246,USR74798,MCH5896,Hotels & Lodging,NOT_DELIVERED,LOW,1644.04,2026-01-07 00:00:00,2026-04-12 00:00:00,95.0,PENDING_BANK,NO_KYC_RECORD
CBK0001029,TXN00007595,USR85025,MCH4045,Pharmacy,DUPLICATE_DEBIT,MEDIUM,1638.0,2026-01-02 00:57:25,2026-04-03 06:18:10,91.22,OPEN,NO_KYC_RECORD
CBK0000408,TXN00002581,USR27346,MCH2897,Hotels & Lodging,DUPLICATE_DEBIT,HIGH,2926.63,2026-01-01 00:00:00,2026-03-31 00:46:50,89.03,IN_PROGRESS,NO_KYC_RECORD
CBK0000951,TXN00000025,USR72055,MCH5253,Grocery,NOT_DELIVERED,LOW,1302.18,2026-01-03 00:00:00,2026-03-28 00:00:00,84.0,CLOSED,NO_KYC_RECORD
CBK0000031,TXN00005788,USR57422,MCH5416,Books & Stationery,DUPLICATE_DEBIT,LOW,372.51,2026-01-04 15:18:04,2026-03-29 00:09:09,83.37,RESOLVED,NO_KYC_RECORD
CBK0002427,TXN00003973,USR52661,MCH4055,Restaurants,WRONG_AMOUNT,LOW,2121.87,2026-01-04 00:00:00,2026-03-23 01:55:27,78.08,PENDING_BANK,REJECTED
CBK0000741,TXN00015495,USR94218,MCH4059,Transportation,WRONG_AMOUNT,MEDIUM,448.1,2026-01-20 18:48:07,2026-04-08 09:57:07,77.63,OPEN,VERIFIED
CBK0000101,TXN00010812,USR71905,MCH3632,Pharmacy,DUPLICATE_DEBIT,LOW,3506.0,2026-01-20 19:57:04,2026-04-04 00:00:00,73.17,IN_PROGRESS,NO_KYC_RECORD
CBK0000579,TXN00006902,USR22736,MCH5925,Restaurants,WRONG_AMOUNT,CRITICAL,2179.89,2026-01-25 21:53:57,2026-04-09 00:00:00,73.09,CLOSED,NO_KYC_RECORD
CBK0001644,TXN00015953,USR93447,MCH6727,Unknown,NOT_DELIVERED,LOW,8373.0,2026-01-06 00:00:00,2026-03-20 00:00:00,73.0,REJECTED,NO_KYC_RECORD
CBK0000580,TXN00008617,USR37854,MCH3810,Grocery,DUPLICATE_DEBIT,CRITICAL,4101.67,2026-01-23 00:17:25,2026-04-03 00:00:00,69.99,CLOSED,NO_KYC_RECORD
CBK0002388,TXN00018528,USR50698,MCH4657,Grocery,ACCOUNT_TAKEOVER,MEDIUM,3336.11,2026-01-06 11:59:59,2026-03-14 00:00:00,66.5,RESOLVED,VERIFIED
CBK0000411,TXN00003133,USR24058,MCH9977,Hotels & Lodging,UNAUTHORIZED_TXN,MEDIUM,3287.47,2026-01-15 00:10:02,2026-03-20 00:00:00,63.99,PENDING_BANK,NO_KYC_RECORD
CBK0002041,TXN00015934,USR89876,MCH5553,Grocery,GENERAL_DISPUTE,HIGH,1508.23,2026-01-20 09:12:11,2026-03-24 00:00:00,62.62,CLOSED,NO_KYC_RECORD
CBK0001760,TXN00017025,USR82580,MCH6022,Hotels & Lodging,FRAUD_SUSPECTED,LOW,19735.18,2026-01-21 08:47:00,2026-03-24 23:17:18,62.6,RESOLVED,NO_KYC_RECORD
CBK0001169,TXN00012596,USR35146,MCH8689,Restaurants,FRAUD_SUSPECTED,LOW,1692.85,2026-01-10 23:13:24,2026-03-14 00:00:00,62.03,PENDING_BANK,NO_KYC_RECORD
CBK0000913,TXN00004115,USR13164,MCH3255,Restaurants,UNAUTHORIZED_TXN,MEDIUM,1495.6,2026-01-09 11:25:02,2026-03-12 00:00:00,61.52,REJECTED,NO_KYC_RECORD
CBK0002415,TXN00007375,USR81669,MCH4546,Grocery,GENERAL_DISPUTE,HIGH,4608.0,2026-01-22 07:09:17,2026-03-23 00:00:00,59.7,RESOLVED,NO_KYC_RECORD
CBK0001538,TXN00007658,USR89723,MCH7789,Unknown,GENERAL_DISPUTE,MEDIUM,2100.66,2026-01-11 08:04:52,2026-03-12 00:00:00,59.66,PENDING_BANK,NO_KYC_RECORD
CBK0001406,TXN00010864,USR22156,MCH1058,Transportation,UNAUTHORIZED_TXN,CRITICAL,2891.42,2026-01-23 00:26:24,2026-03-23 04:34:25,59.17,OPEN,NO_KYC_RECORD
CBK0001092,TXN00015253,USR51996,MCH9248,Restaurants,SERVICE_NOT_PROVIDED,LOW,1700.27,2026-01-16 21:26:08,2026-03-17 00:00:00,59.11,PENDING_BANK,VERIFIED
CBK0000142,TXN00017373,USR53625,MCH4084,Grocery,FRAUD_SUSPECTED,MEDIUM,4758.01,2026-01-19 17:50:56,2026-03-17 00:00:00,56.26,IN_PROGRESS,PENDING
CBK0002130,TXN00010659,USR44329,MCH2272,Pharmacy,DUPLICATE_DEBIT,LOW,11158.4,2026-01-24 05:03:20,2026-03-20 00:00:00,54.79,CLOSED,NO_KYC_RECORD
CBK0000985,TXN00016633,USR46471,MCH2587,Pharmacy,UNAUTHORIZED_TXN,HIGH,3329.74,2026-01-11 12:35:32,2026-03-07 00:00:00,54.48,IN_PROGRESS,NO_KYC_RECORD
