merchant_id,txns,amount,failed_rate,disputed_txns,category,in_master,chargebacks,disputed_amount,fraud_chargebacks,critical_high,distinct_disputing_users,merchant_name,merchant_status,settlement_account_type,id_record_count,chargeback_to_txn_ratio,risk_score,risk_signals,risk_tier
MCH3478,3,25311.1,0.0,2,Grocery,False,3.0,31213.74,1.0,0.0,2.0,,,,,0.6666666666666666,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH9572,4,22507.440000000002,0.0,2,Grocery,False,5.0,23982.09,3.0,1.0,2.0,,,,,0.5,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH8540,3,26648.96,0.0,1,Grocery,True,3.0,22249.399999999998,2.0,0.0,1.0,Tiwari Ltd,ACTIVE,MISSING,1.0,0.3333333333333333,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, missing_settlement_account",HIGH
MCH4342,4,44649.78,0.0,2,Grocery,True,2.0,21882.47,1.0,0.0,2.0,Som Plc,INACTIVE,MISSING,2.0,0.5,80,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, transacting_while_not_active, missing_settlement_account",HIGH
MCH6538,4,55870.07,0.0,2,Grocery,False,3.0,17814.75,1.0,0.0,2.0,,,,,0.5,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH5530,4,46575.19,0.0,3,Pharmacy,False,4.0,15774.67,3.0,2.0,3.0,,,,,0.75,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH4243,4,71496.37,0.0,3,Department Stores,True,3.0,15583.16,2.0,0.0,3.0,"Ramesh, Venkatesh and Ravel",ACTIVE,MISSING,1.0,0.75,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, missing_settlement_account",HIGH
MCH5102,3,45587.63,0.3333333333333333,2,Unknown,False,3.0,14885.22,2.0,0.0,2.0,,,,,0.6666666666666666,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH6701,3,38379.86,0.0,2,Grocery,False,3.0,13326.19,1.0,2.0,2.0,,,,,0.6666666666666666,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH6960,5,66207.0,0.0,2,Restaurants,True,3.0,12592.52,1.0,0.0,2.0,Das-Dhawan,ACTIVE,MISSING,1.0,0.4,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, missing_settlement_account",HIGH
MCH8763,4,67790.3,0.25,2,Transportation,False,3.0,12432.57,1.0,0.0,2.0,,,,,0.5,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH8119,5,41589.33,0.4,2,Grocery,True,3.0,12159.89,1.0,1.0,2.0,Subramanianand Sons,ACTIVE,MISSING,1.0,0.4,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, missing_settlement_account",HIGH
MCH6257,5,43168.16,0.0,2,Grocery,True,3.0,4467.04,2.0,2.0,2.0,"Bali, Ahuja and Natarajan",SUSPENDED,MISSING,2.0,0.4,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH1744,3,29529.190000000002,0.0,3,Grocery,True,3.0,3298.93,2.0,0.0,3.0,"Mani, Tara and Mane",CLOSED,MISSING,1.0,1.0,80,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, transacting_while_not_active, missing_settlement_account",HIGH
MCH5917,3,41981.979999999996,0.0,2,Grocery,True,2.0,27364.86,2.0,1.0,2.0,"Tara, Bhasin and Singh",SUSPENDED,ACCOUNT_NUMBER,1.0,0.6666666666666666,75,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, transacting_while_not_active",HIGH
MCH5097,3,30894.760000000002,0.0,1,Grocery,True,3.0,17475.52,2.0,3.0,1.0,Sathe Inc,ACTIVE,MASKED,1.0,0.3333333333333333,75,"repeated_disputes(≥2), 3+_disputes, high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount",HIGH
MCH6822,4,69872.15,0.0,2,Restaurants,True,2.0,14621.36,1.0,1.0,2.0,"Sankar, Deol and Goswami",CLOSED,MASKED,1.0,0.5,75,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, transacting_while_not_active",HIGH
MCH8586,3,46458.83,0.0,2,Grocery,False,2.0,44450.57,1.0,1.0,2.0,,,,,0.6666666666666666,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH2484,6,61796.29,0.16666666666666666,2,Grocery,False,2.0,29447.829999999998,2.0,1.0,2.0,,,,,0.3333333333333333,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH7045,4,54489.72,0.0,2,Grocery,False,2.0,24541.86,1.0,1.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH3213,3,62902.56,0.0,2,Grocery,False,2.0,24174.539999999997,1.0,0.0,2.0,,,,,0.6666666666666666,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH6471,4,42004.95,0.25,2,Pharmacy,False,2.0,21547.4,1.0,1.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH8776,4,78451.83,0.0,2,Grocery,False,2.0,20294.280000000002,1.0,0.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH8699,6,100889.4,0.3333333333333333,2,Grocery,False,2.0,19891.37,1.0,0.0,2.0,,,,,0.3333333333333333,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH3215,4,62436.96,0.0,2,Unknown,False,2.0,19346.73,1.0,0.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH4921,6,108205.74,0.0,2,Restaurants,False,2.0,17245.86,2.0,0.0,2.0,,,,,0.3333333333333333,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH8916,4,66667.43,0.0,2,Grocery,False,2.0,16145.27,1.0,1.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH3232,5,69511.61,0.0,2,Restaurants,True,2.0,14888.36,1.0,2.0,2.0,"Sarraf,chaudhuriand Acharya",ACTIVE,MISSING,2.0,0.4,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, missing_settlement_account",HIGH
MCH5725,3,23225.04,0.0,1,Restaurants,False,2.0,13833.85,1.0,1.0,1.0,,,,,0.3333333333333333,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH1173,5,62937.020000000004,0.0,2,Hotels & Lodging,False,2.0,13644.119999999999,1.0,0.0,2.0,,,,,0.4,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH2222,5,52578.99,0.2,2,Pharmacy,True,2.0,13544.7,1.0,0.0,2.0,"Mani, Ravel and Agrawal",ACTIVE,MISSING,1.0,0.4,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, missing_settlement_account",HIGH
MCH4316,3,20272.510000000002,0.3333333333333333,1,Grocery,False,2.0,13428.48,1.0,2.0,1.0,,,,,0.3333333333333333,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH3078,5,64396.16,0.2,2,Grocery,True,2.0,13217.49,1.0,0.0,2.0,"Gandhi, Rout and Sankaran",ACTIVE,MISSING,1.0,0.4,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, missing_settlement_account",HIGH
MCH7815,6,49151.119999999995,0.0,2,Grocery,False,2.0,12848.74,2.0,1.0,2.0,,,,,0.3333333333333333,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
MCH5134,4,24456.370000000003,0.0,2,Pharmacy,False,2.0,12794.8,2.0,1.0,2.0,,,,,0.5,70,"repeated_disputes(≥2), high_cb_ratio(≥30%,≥3 txns), fraud_type_dispute, top10%_disputed_amount, not_in_merchant_master",HIGH
