cluster_id,nodes,users,merchants,payment_edges,txns,amount,chargebacks,disputed_amount,fraud_chargebacks,unverified_or_no_kyc_users,hub_node,hub_degree,member_users,member_merchants,cluster_risk_score
CL001,10,6,4,9,9,72278.69,8,19639.15,4,4,M:MCH1366,3,USR19450 USR52174 USR57484 USR69382 USR84883 USR84915,MCH1366 MCH3712 MCH5530 MCH6414,34.0
CL002,11,6,5,10,10,76653.58,7,18891.39,2,5,M:MCH1949,3,USR33281 USR35227 USR37899 USR64965 USR80577 USR99049,MCH1949 MCH3208 MCH5909 MCH6838 MCH7269,26.9
CL003,6,3,3,5,5,37808.0,5,20024.91,3,3,M:MCH5134,3,USR18716 USR33647 USR54221,MCH5128 MCH5134 MCH9506,24.0
CL004,7,4,3,6,6,70962.17,5,29878.71,2,3,M:MCH4395,3,USR15405 USR19837 USR41275 USR96495,MCH1991 MCH4395 MCH8851,22.0
CL005,6,4,2,5,5,72886.93,4,15851.16,3,3,M:MCH4243,3,USR20637 USR42648 USR63231 USR65826,MCH4243 MCH9044,21.6
CL006,5,3,2,4,4,31785.230000000003,4,10135.1,3,2,M:MCH6924,2,USR44917 USR65144 USR92837,MCH6924 MCH8358,20.0
CL007,7,4,3,6,6,68491.67,5,30788.8,1,3,M:MCH6858,2,USR13875 USR19781 USR48448 USR67337,MCH6858 MCH7800 MCH9219,19.1
CL008,5,3,2,4,4,38118.79,3,5551.18,3,3,M:MCH9941,3,USR78003 USR82159 USR94832,MCH1209 MCH9941,18.6
CL009,5,3,2,4,4,60448.619999999995,3,31546.79,2,3,M:MCH1302,2,USR17179 USR84923 USR89128,MCH1302 MCH8146,18.2
CL010,4,3,1,3,3,19639.72,4,10230.17,2,3,M:MCH3587,3,USR30469 USR59418 USR66939,MCH3587,18.0
CL011,4,2,2,3,3,27869.5,4,15987.98,2,2,M:MCH4302,2,USR61021 USR63885,MCH2942 MCH4302,17.6
CL012,5,3,2,4,4,72404.81,3,19331.03,2,3,M:MCH1916,3,USR94277 USR97036 USR97155,MCH1916 MCH4569,16.9
CL013,5,3,2,4,4,54582.9,4,5819.54,2,2,M:MCH1847,2,USR35469 USR49642 USR52458,MCH1847 MCH8466,16.6
CL014,6,3,3,5,5,36519.35,4,13992.61,2,1,M:MCH3305,2,USR16569 USR19965 USR43994,MCH3305 MCH5882 MCH9379,16.4
CL015,5,3,2,4,4,60776.619999999995,3,23844.620000000003,2,2,M:MCH1036,2,USR11412 USR25687 USR41135,MCH1036 MCH7517,16.4
CL016,6,4,2,5,5,58631.21,4,2982.9,2,2,M:MCH2497,4,USR27725 USR29739 USR32125 USR37202,MCH2497 MCH8668,16.3
CL017,7,4,3,6,6,36509.05,4,22329.51,1,3,M:MCH6454,3,USR18694 USR29662 USR74291 USR99390,MCH1708 MCH5643 MCH6454,16.2
CL018,6,4,2,5,5,47629.58,4,11416.8,1,4,M:MCH4067,3,USR36986 USR65839 USR71606 USR83092,MCH4067 MCH6402,16.1
CL019,6,3,3,5,5,36565.3,3,19713.59,2,2,U:USR57250,3,USR57250 USR69849 USR90514,MCH1881 MCH2420 MCH9057,16.0
CL020,5,3,2,4,4,48152.01,3,10012.37,2,3,M:MCH6948,3,USR63213 USR69151 USR70689,MCH6948 MCH8833,16.0
CL021,4,2,2,3,3,45715.99,3,16028.730000000001,2,2,M:MCH5743,2,USR37155 USR78508,MCH5743 MCH7039,15.6
CL022,4,3,1,3,3,29529.19,3,3298.93,2,3,M:MCH1744,3,USR22920 USR30959 USR45648,MCH1744,15.3
CL023,5,3,2,4,4,59540.49,3,21618.420000000002,2,1,M:MCH9509,3,USR42248 USR45133 USR94536,MCH8569 MCH9509,15.2
CL024,4,3,1,3,3,48587.39,3,10586.9,2,2,M:MCH6678,3,USR22336 USR34262 USR71235,MCH6678,15.1
CL025,4,2,2,3,3,39357.46,3,11460.130000000001,2,2,M:MCH8954,2,USR79932 USR83115,MCH8510 MCH8954,15.1
CL026,4,2,2,3,3,41712.05,3,7432.34,2,2,M:MCH7810,2,USR43228 USR58623,MCH6834 MCH7810,14.7
CL027,6,3,3,5,5,58259.96,3,6555.78,2,2,U:USR56391,3,USR43767 USR56391 USR83071,MCH2860 MCH4598 MCH8057,14.7
CL028,7,4,3,6,6,49493.060000000005,4,5057.780000000001,1,3,U:USR58773,3,USR58773 USR60836 USR82608 USR83227,MCH1439 MCH7992 MCH9533,14.5
CL029,4,3,1,3,3,47166.97,3,5137.3099999999995,2,2,M:MCH3549,3,USR30005 USR52604 USR93864,MCH3549,14.5
CL030,6,3,3,5,5,60521.59,4,21461.44,1,1,U:USR20097,3,USR20097 USR54294 USR84725,MCH1089 MCH4669 MCH5963,14.1
CL031,5,3,2,4,4,44185.68,4,18215.77,1,1,M:MCH6538,2,USR17198 USR76010 USR89332,MCH6538 MCH9622,13.8
CL032,5,3,2,4,4,53862.35,3,28264.370000000003,1,2,M:MCH8699,3,USR52173 USR87038 USR93447,MCH6727 MCH8699,13.8
CL033,4,3,1,3,3,21531.1,3,6273.360000000001,2,1,M:MCH2179,3,USR49397 USR52672 USR83281,MCH2179,13.6
CL034,4,2,2,3,3,49732.02,3,3576.9000000000005,2,1,M:MCH1968,2,USR63093 USR90112,MCH1968 MCH5222,13.4
CL035,5,3,2,4,4,43895.979999999996,3,13939.45,1,3,M:MCH4350,2,USR85354 USR87941 USR94755,MCH4350 MCH9920,13.4
CL036,5,3,2,4,4,42461.08,4,23383.0,0,3,M:MCH1197,2,USR21498 USR71148 USR88921,MCH1197 MCH8296,13.3
CL037,6,3,3,5,5,69098.92,4,12369.800000000001,1,1,M:MCH4059,2,USR25501 USR94218 USR99048,MCH4059 MCH4426 MCH7037,13.2
CL038,4,2,2,3,3,42318.34,3,21492.92,1,2,M:MCH1080,2,USR23949 USR56298,MCH1080 MCH7481,13.1
CL039,4,3,1,3,3,48676.14,3,10134.75,1,3,M:MCH5177,3,USR16058 USR19007 USR84407,MCH5177,13.0
CL040,6,3,3,5,5,57960.82,5,8630.34,0,2,U:USR60393,3,USR20958 USR52158 USR60393,MCH2150 MCH4981 MCH6796,12.9
CL041,5,2,3,4,4,55084.16,3,17660.63,1,2,M:MCH4409,2,USR55702 USR96885,MCH4409 MCH5559 MCH8671,12.8
CL042,4,2,2,3,3,40464.03,2,8009.8,2,2,M:MCH9135,2,USR26223 USR36033,MCH8556 MCH9135,12.8
CL043,4,3,1,3,3,33144.76,3,7414.65,1,3,M:MCH1195,3,USR10365 USR62989 USR93454,MCH1195,12.7
CL044,5,3,2,4,4,39289.659999999996,3,6707.06,1,3,M:MCH1041,2,USR10402 USR30316 USR34225,MCH1041 MCH2883,12.7
CL045,5,3,2,4,4,41634.759999999995,3,17041.68,1,2,M:MCH6746,2,USR21910 USR33667 USR51470,MCH6746 MCH9520,12.7
CL046,6,3,3,5,5,27792.76,3,6134.84,1,3,M:MCH5491,2,USR62099 USR67133 USR89133,MCH5491 MCH6694 MCH7507,12.6
CL047,4,3,1,3,3,47494.009999999995,3,5140.04,1,3,M:MCH1508,3,USR36829 USR48829 USR56428,MCH1508,12.5
CL048,4,2,2,3,3,26317.81,2,4548.68,2,2,M:MCH7691,2,USR81946 USR88409,MCH1962 MCH7691,12.5
CL049,4,2,2,3,3,51178.22,2,2650.07,2,2,M:MCH9309,2,USR21867 USR96000,MCH6885 MCH9309,12.3
